pressSN,endTime,startTime,machineState,pressState,State
70001004,2023-04-03T10:07:43.0185934-05:00,2023-04-03T09:57:15.2573126-05:00,DYNAMIC_READY,Ready,6
70001003,2023-04-03T10:00:52.1682269+02:00,2023-04-03T09:57:53.2844266+02:00,PRE_PRINT,Print,7
70001003,2023-04-03T10:03:08.5474147+02:00,2023-04-03T10:00:52.1682269+02:00,PRINT,Print,8
70001002,2023-04-03T10:03:34.4783313-04:00,2023-04-03T10:03:02.6526619-04:00,POST_PRINT,Print,7
70001003,2023-04-03T10:03:26.0593436+02:00,2023-04-03T10:03:08.5474147+02:00,POST_PRINT,Print,7
70001003,2023-04-03T10:07:33.4138001+02:00,2023-04-03T10:03:26.0593436+02:00,DYNAMIC_READY,Ready,6
70001002,2023-04-03T10:10:51.5656254-04:00,2023-04-03T10:03:34.4783313-04:00,DYNAMIC_READY,Ready,6
70001003,2023-04-03T10:07:39.6575421+02:00,2023-04-03T10:07:33.4138001+02:00,GO_TO_STANDBY,Standby,3
70001003,2023-04-03T10:07:45.0866883+02:00,2023-04-03T10:07:39.6575421+02:00,STANDBY,Standby,3
70001004,2023-04-03T10:19:13.7895073-05:00,2023-04-03T10:07:43.0185934-05:00,READY,Ready,5
70001003,2023-04-03T10:07:54.5674094+02:00,2023-04-03T10:07:45.0866883+02:00,GO_TO_OFF,Off,1
70001003,2023-04-03T10:08:00.8082396+02:00,2023-04-03T10:07:54.5674094+02:00,OFF,Off,1
70001003,2023-04-03T10:08:01.0656383+02:00,2023-04-03T10:08:00.8082396+02:00,GO_TO_SERVICE,Service,2
70001003,2023-04-03T10:20:32.3847355+02:00,2023-04-03T10:08:01.0656383+02:00,SERVICE,Service,2
70001002,2023-04-03T10:11:42.7139158-04:00,2023-04-03T10:10:51.5656254-04:00,PRE_PRINT,Print,7
70001002,2023-04-03T10:12:06.8802355-04:00,2023-04-03T10:11:42.7139158-04:00,PRINT,Print,8
70001002,2023-04-03T10:12:23.400266-04:00,2023-04-03T10:12:06.8802355-04:00,POST_PRINT,Print,7
70001002,2023-04-03T10:22:52.4708972-04:00,2023-04-03T10:12:23.400266-04:00,DYNAMIC_READY,Ready,6
70001004,2023-04-03T10:24:49.0204132-05:00,2023-04-03T10:19:13.7895073-05:00,PRE_PRINT,Print,7
70001003,2023-04-03T10:25:54.2467213+02:00,2023-04-03T10:20:32.3847355+02:00,OFF,Off,1
70001002,2023-04-03T10:35:00.8001502-04:00,2023-04-03T10:22:52.4708972-04:00,READY,Ready,5
70001004,2023-04-03T10:25:09.3652327-05:00,2023-04-03T10:24:49.0204132-05:00,PRINT,Print,8
70001004,2023-04-03T10:25:26.8978045-05:00,2023-04-03T10:25:09.3652327-05:00,POST_PRINT,Print,7
70001004,2023-04-03T10:34:43.7555967-05:00,2023-04-03T10:25:26.8978045-05:00,DYNAMIC_READY,Ready,6
70001003,2023-04-03T10:27:00.7100213+02:00,2023-04-03T10:25:54.2467213+02:00,MECH_INIT,Off,1
70001003,2023-04-03T10:37:39.6747122+02:00,2023-04-03T10:27:00.7100213+02:00,STANDBY,Standby,3
70001004,2023-04-03T10:35:32.3125486-05:00,2023-04-03T10:34:43.7555967-05:00,PRE_PRINT,Print,7
70001002,2023-04-03T10:36:43.5256024-04:00,2023-04-03T10:35:00.8001502-04:00,PRE_PRINT,Print,7
70001004,2023-04-03T10:35:56.0954958-05:00,2023-04-03T10:35:32.3125486-05:00,PRINT,Print,8
